"ProductName","ProductCategory","Description","Quantity","Price","ProductCode","Manufacturer","ProductTax","CoolingCapacity","PowerConsumption","CurrentRating","FCUCapacity","EfficiencyProfile","ProductCategoryId","IsActive","CreatedOn","UpdatedOn","ProductInventory","Tags","ImagePath","ModelNo","Id"
"Godrej AC","Condensor","Godrej AC is a multinational manufacturer of home appliances based in Michigan, United States. Godrej AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Godrej AC ACs hold a market share of 25% in the AC market","0","4181","3660845601","Godrej","15%","NULL","NULL","NULL","NULL","121",,true,"08/11/2021","1900-01-01T00:00:00.000Z","OS","3","loction/img","183462429703",11
"Onida AC","FCU","Onida AC is a multinational manufacturer of home appliances based in Michigan, United States. Onida AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Onida AC ACs hold a market share of 25% in the AC market","1","4182","1657360346","Onida","15%","NULL","NULL","NULL","NULL","121",,true,"08/12/2021","1900-01-01T00:00:00.000Z","LS","4","loction/img","394863653598",12
"Product New","FCU","","50","45678","1234654897","Manu New","12","23465","1254","12354","12354","[{""John"":""Jack"",""Doe"":""McGinnis"",""120 jefferson st."":""220 hobo Av."",""Riverside"":""Phila"",""NJ"":""PA"",""08075"":""09119""},{""John"":""John \""Da Man\"""",""Doe"":""Repici"",""120 jefferson st."":""120 Jefferson St."",""Riverside"":""Riverside"",""NJ"":""NJ"",""08075"":""08075""},{""John"":""Stephen"",""Doe"":""Tyler"",""120 jefferson st."":""7452 Terrace \""At the Plaza\"" road"",""Riverside"":""SomeTown"",""NJ"":""SD"",""08075"":""91234""},{""John"":"""",""Doe"":""Blankman"",""120 jefferson st."":"""",""Riverside"":""SomeTown"",""NJ"":""SD"",""08075"":""00298""},{""John"":""Joan \""the bone\"", Anne"",""Doe"":""Jet"",""120 jefferson st."":""9th, at Terrace plc"",""Riverside"":""Desert City"",""NJ"":""CO"",""08075"":""00123""}]","0",true,"11/01/2021","2021-11-01T15:02:45.333Z","IS","","""""","13246547987",107
"MarQ AC","FCU","MarQ AC is a multinational manufacturer of home appliances based in Michigan, United States. MarQ AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  MarQ AC ACs hold a market share of 25% in the AC market","1","4096","6269097517","MarQ","12%","NULL","NULL","NULL","NULL","121",,true,"08/13/2021","1900-01-01T00:00:00.000Z","LS","3","loction/img","164152377267",13
"Hitachi AC","FCU","Hitachi AC is a multinational manufacturer of home appliances based in Michigan, United States. Hitachi AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Hitachi AC ACs hold a market share of 25% in the AC market","1","4616","9019462306","Hitachi","14%","NULL","NULL","NULL","NULL","121",,true,"08/14/2021","1900-01-01T00:00:00.000Z","LS","4","loction/img","304128745516",14
"BPL AC","Condensor","BPL AC is a multinational manufacturer of home appliances based in Michigan, United States. BPL AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  BPL AC ACs hold a market share of 25% in the AC market","1","4409","3065327916","BPL","14%","NULL","NULL","NULL","NULL","121",,true,"08/15/2021","1900-01-01T00:00:00.000Z","LS","5","loction/img","125178595794",15
"Hitachi AC","FCU","Hitachi AC is a multinational manufacturer of home appliances based in Michigan, United States. Hitachi AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Hitachi AC ACs hold a market share of 25% in the AC market","1","4565","8817939680","Hitachi","18%","NULL","NULL","NULL","NULL","121",,true,"08/16/2021","1900-01-01T00:00:00.000Z","LS","4","loction/img","740861162994",16
"Carrier AC","Condensor","Carrier AC is a multinational manufacturer of home appliances based in Michigan, United States. Carrier AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Carrier AC ACs hold a market share of 25% in the AC market","1","4466","6177115037","Carrier","17%","NULL","NULL","NULL","NULL","121",,true,"08/17/2021","1900-01-01T00:00:00.000Z","LS","4","loction/img","265943912066",17
"Mitsubishi AC","FCU","Mitsubishi AC is a multinational manufacturer of home appliances based in Michigan, United States. Mitsubishi AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Mitsubishi AC ACs hold a market share of 25% in the AC market","1","3058","1046860968","Mitsubishi","18%","NULL","NULL","NULL","NULL","121",,true,"08/18/2021","1900-01-01T00:00:00.000Z","LS","3","loction/img","252120902782",18
"Croma AC","FCU","Croma AC is a multinational manufacturer of home appliances based in Michigan, United States. Croma AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Croma AC ACs hold a market share of 25% in the AC market","1","3820","2872847288","Croma","17%","NULL","NULL","NULL","NULL","121",,true,"08/19/2021","1900-01-01T00:00:00.000Z","LS","2","loction/img","606383925314",19
"Koryo AC","FCU","Koryo AC is a multinational manufacturer of home appliances based in Michigan, United States. Koryo AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Koryo AC ACs hold a market share of 25% in the AC market","1","3007","8915427458","Koryo","16%","NULL","NULL","NULL","NULL","121",,true,"08/20/2021","1900-01-01T00:00:00.000Z","LS","4","loction/img","515234216904",20
"Voltas AC","FCU","Voltas AC is a multinational manufacturer of home appliances based in Michigan, United States. Voltas AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Voltas AC ACs hold a market share of 25% in the AC market","1","3511","2471336455","Voltas","15%","NULL","NULL","NULL","NULL","121",,true,"08/21/2021","1900-01-01T00:00:00.000Z","LS","3","loction/img","804457311218",21
"Hitachi AC","FCU","Hitachi AC is a multinational manufacturer of home appliances based in Michigan, United States. Hitachi AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Hitachi AC ACs hold a market share of 25% in the AC market","1","4712","1410369202","Hitachi","12%","NULL","NULL","NULL","NULL","121",,true,"08/22/2021","1900-01-01T00:00:00.000Z","LS","5","loction/img","595442134381",22
"White Westinghouse AC","FCU","White Westinghouse AC is a multinational manufacturer of home appliances based in Michigan, United States. White Westinghouse AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  White Westinghouse AC ACs hold a market share of 25% in the AC market","1","3329","1996911806","White Westinghouse","14%","NULL","NULL","NULL","NULL","121",,true,"08/23/2021","1900-01-01T00:00:00.000Z","LS","4","loction/img","600544989783",23
"Hyundai AC","FCU","Hyundai AC is a multinational manufacturer of home appliances based in Michigan, United States. Hyundai AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Hyundai AC ACs hold a market share of 25% in the AC market","1","4423","7354413973","Hyundai","15%","NULL","NULL","NULL","NULL","121",,true,"08/24/2021","1900-01-01T00:00:00.000Z","LS","5","loction/img","135270555171",24
"Trane AC","FCU","Trane AC is a multinational manufacturer of home appliances based in Michigan, United States. Trane AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Trane AC ACs hold a market share of 25% in the AC market","1","3213","6488830473","Trane","17%","NULL","NULL","NULL","NULL","121",,true,"08/25/2021","1900-01-01T00:00:00.000Z","IS","5","loction/img","543266905074",25
"Mitsubishi AC","FCU","Mitsubishi AC is a multinational manufacturer of home appliances based in Michigan, United States. Mitsubishi AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Mitsubishi AC ACs hold a market share of 25% in the AC market","1","4793","7396819819","Mitsubishi","18%","NULL","NULL","NULL","NULL","121",,true,"08/26/2021","1900-01-01T00:00:00.000Z","IS","3","loction/img","438420960388",26
"MarQ AC","FCU","MarQ AC is a multinational manufacturer of home appliances based in Michigan, United States. MarQ AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  MarQ AC ACs hold a market share of 25% in the AC market","7","3227","4736689796","MarQ","17%","NULL","NULL","NULL","NULL","121",,true,"08/27/2021","1900-01-01T00:00:00.000Z","IS","2","loction/img","818260311299",27
"Croma AC","FCU","Croma AC is a multinational manufacturer of home appliances based in Michigan, United States. Croma AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Croma AC ACs hold a market share of 25% in the AC market","5","3175","4562010494","Croma","12%","NULL","NULL","NULL","NULL","121",,true,"08/28/2021","1900-01-01T00:00:00.000Z","IS","2","loction/img","246309897678",28
"Daikin AC","Condensor","Daikin AC is a multinational manufacturer of home appliances based in Michigan, United States. Daikin AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Daikin AC ACs hold a market share of 25% in the AC market","50","4071","4630572767","Daikin","15%","NULL","NULL","NULL","NULL","121",,true,"08/29/2021","1900-01-01T00:00:00.000Z","IS","4","loction/img","787348121223",29
"Mitashi AC","FCU","Mitashi AC is a multinational manufacturer of home appliances based in Michigan, United States. Mitashi AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Mitashi AC ACs hold a market share of 25% in the AC market","24","3179","3623026746","Mitashi","18%","NULL","NULL","NULL","NULL","121",,true,"08/30/2021","1900-01-01T00:00:00.000Z","IS","3","loction/img","669755390120",30
"Vestar AC","Condensor","Vestar AC is a multinational manufacturer of home appliances based in Michigan, United States. Vestar AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Vestar AC ACs hold a market share of 25% in the AC market","0","4583","7903256125","Vestar","15%","NULL","NULL","NULL","NULL","121",,true,"08/31/2021","1900-01-01T00:00:00.000Z","IS","5","loction/img","626600477157",31
"IFB AC","Condensor","IFB AC is a multinational manufacturer of home appliances based in Michigan, United States. IFB AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  IFB AC ACs hold a market share of 25% in the AC market","21","4489","7607504333","IFB","14%","NULL","NULL","NULL","NULL","121",,true,"09/01/2021","1900-01-01T00:00:00.000Z","IS","5","loction/img","419085221033",32
"Godrej AC","FCU","Godrej AC is a multinational manufacturer of home appliances based in Michigan, United States. Godrej AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Godrej AC ACs hold a market share of 25% in the AC market","33","4814","8716596895","Godrej","18%","NULL","NULL","NULL","NULL","121",,true,"09/02/2021","1900-01-01T00:00:00.000Z","IS","2","loction/img","301306647383",33
"Midea AC","FCU","Midea AC is a multinational manufacturer of home appliances based in Michigan, United States. Midea AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Midea AC ACs hold a market share of 25% in the AC market","25","4490","9896155850","Midea","13%","NULL","NULL","NULL","NULL","121",,true,"09/03/2021","1900-01-01T00:00:00.000Z","IS","5","loction/img","218290457003",34
"Micromax AC","FCU","Micromax AC is a multinational manufacturer of home appliances based in Michigan, United States. Micromax AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Micromax AC ACs hold a market share of 25% in the AC market","43","4169","1584179060","Micromax","12%","NULL","NULL","NULL","NULL","121",,true,"09/04/2021","1900-01-01T00:00:00.000Z","IS","3","loction/img","933610148001",35
"Croma AC","FCU","Croma AC is a multinational manufacturer of home appliances based in Michigan, United States. Croma AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Croma AC ACs hold a market share of 25% in the AC market","40","4608","6324387206","Croma","17%","NULL","NULL","NULL","NULL","121",,true,"09/05/2021","1900-01-01T00:00:00.000Z","IS","5","loction/img","436122536911",36
"Product 1","FCU","","546","5485","2465465","hjkj","545","45654","26546","145","145","[{""John"":""Jack"",""Doe"":""McGinnis"",""120 jefferson st."":""220 hobo Av."",""Riverside"":""Phila"",""NJ"":""PA"",""08075"":""09119""},{""John"":""John \""Da Man\"""",""Doe"":""Repici"",""120 jefferson st."":""120 Jefferson St."",""Riverside"":""Riverside"",""NJ"":""NJ"",""08075"":""08075""},{""John"":""Stephen"",""Doe"":""Tyler"",""120 jefferson st."":""7452 Terrace \""At the Plaza\"" road"",""Riverside"":""SomeTown"",""NJ"":""SD"",""08075"":""91234""},{""John"":"""",""Doe"":""Blankman"",""120 jefferson st."":"""",""Riverside"":""SomeTown"",""NJ"":""SD"",""08075"":""00298""},{""John"":""Joan \""the bone\"", Anne"",""Doe"":""Jet"",""120 jefferson st."":""9th, at Terrace plc"",""Riverside"":""Desert City"",""NJ"":""CO"",""08075"":""00123""}]","0",true,"11/01/2021","2021-11-01T15:07:29.270Z","IS","","""""","446565",108
"BPL AC","Condensor","BPL AC is a multinational manufacturer of home appliances based in Michigan, United States. BPL AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  BPL AC ACs hold a market share of 25% in the AC market","43","3628","7821055251","BPL","12%","NULL","NULL","NULL","NULL","121",,true,"09/06/2021","1900-01-01T00:00:00.000Z","IS","5","loction/img","955076763416",37
"O General AC","FCU","O General AC is a multinational manufacturer of home appliances based in Michigan, United States. O General AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  O General AC ACs hold a market share of 25% in the AC market","40","3758","8009547081","O General","16%","NULL","NULL","NULL","NULL","121",,true,"09/07/2021","1900-01-01T00:00:00.000Z","IS","3","loction/img","157766184084",38
"Mitsubishi AC","Condensor","Mitsubishi AC is a multinational manufacturer of home appliances based in Michigan, United States. Mitsubishi AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Mitsubishi AC ACs hold a market share of 25% in the AC market","33","4012","3812014424","Mitsubishi","15%","NULL","NULL","NULL","NULL","121",,true,"09/08/2021","1900-01-01T00:00:00.000Z","IS","5","loction/img","997977132093",39
"Samsung AC","Condensor","Samsung AC is a multinational manufacturer of home appliances based in Michigan, United States. Samsung AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Samsung AC ACs hold a market share of 25% in the AC market","2","3217","9880417383","Samsung","18%","NULL","NULL","NULL","NULL","121",,true,"09/09/2021","1900-01-01T00:00:00.000Z","IS","3","loction/img","705691623274",40
"Haier AC","Condensor","Haier AC is a multinational manufacturer of home appliances based in Michigan, United States. Haier AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Haier AC ACs hold a market share of 25% in the AC market","30","3605","5036822902","Haier","16%","NULL","NULL","NULL","NULL","121",,true,"09/10/2021","1900-01-01T00:00:00.000Z","IS","5","loction/img","364213052551",41
"O General AC","FCU","O General AC is a multinational manufacturer of home appliances based in Michigan, United States. O General AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  O General AC ACs hold a market share of 25% in the AC market","17","3034","5240706744","O General","14%","NULL","NULL","NULL","NULL","121",,true,"09/11/2021","1900-01-01T00:00:00.000Z","IS","4","loction/img","734400526493",42
"Panasonic AC","Condensor","Panasonic AC is a multinational manufacturer of home appliances based in Michigan, United States. Panasonic AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Panasonic AC ACs hold a market share of 25% in the AC market","47","3847","2075717759","Panasonic","12%","NULL","NULL","NULL","NULL","121",,true,"09/12/2021","1900-01-01T00:00:00.000Z","IS","3","loction/img","639197168775",43
"Samsung AC","FCU","Samsung AC is a multinational manufacturer of home appliances based in Michigan, United States. Samsung AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Samsung AC ACs hold a market share of 25% in the AC market","32","3373","8175241989","Samsung","15%","NULL","NULL","NULL","NULL","121",,true,"09/13/2021","1900-01-01T00:00:00.000Z","IS","3","loction/img","372843391156",44
"Mitashi AC","FCU","Mitashi AC is a multinational manufacturer of home appliances based in Michigan, United States. Mitashi AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Mitashi AC ACs hold a market share of 25% in the AC market","47","3867","1884949373","Mitashi","18%","NULL","NULL","NULL","NULL","121",,true,"09/14/2021","1900-01-01T00:00:00.000Z","IS","4","loction/img","380309417678",45
"Haier AC","FCU","Haier AC is a multinational manufacturer of home appliances based in Michigan, United States. Haier AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Haier AC ACs hold a market share of 25% in the AC market","7","3986","3959927141","Haier","13%","NULL","NULL","NULL","NULL","121",,true,"09/15/2021","1900-01-01T00:00:00.000Z","IS","2","loction/img","592147446844",46
"Hyundai AC","Condensor","Hyundai AC is a multinational manufacturer of home appliances based in Michigan, United States. Hyundai AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Hyundai AC ACs hold a market share of 25% in the AC market","5","4665","5771532134","Hyundai","17%","NULL","NULL","NULL","NULL","121",,true,"09/16/2021","1900-01-01T00:00:00.000Z","IS","3","loction/img","231831193729",47
"Toshiba AC","FCU","Toshiba AC is a multinational manufacturer of home appliances based in Michigan, United States. Toshiba AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Toshiba AC ACs hold a market share of 25% in the AC market","39","4828","3320491063","Toshiba","16%","NULL","NULL","NULL","NULL","121",,true,"09/17/2021","1900-01-01T00:00:00.000Z","IS","3","loction/img","165779777050",48
"test","Energy","","878","898","test","4678","9","9","899","8","8","[]","0",true,"11/02/2021","2021-11-02T14:20:01.980Z","IS","","""""","test",114
"MarQ AC","Condensor","MarQ AC is a multinational manufacturer of home appliances based in Michigan, United States. MarQ AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  MarQ AC ACs hold a market share of 25% in the AC market","30","4970","9887412232","MarQ","12%","NULL","NULL","NULL","NULL","121",,true,"09/18/2021","1900-01-01T00:00:00.000Z","IS","3","loction/img","309290566854",49
"O General AC","Condensor","O General AC is a multinational manufacturer of home appliances based in Michigan, United States. O General AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  O General AC ACs hold a market share of 25% in the AC market","8","4157","9199443556","O General","14%","NULL","NULL","NULL","NULL","121",,true,"09/19/2021","1900-01-01T00:00:00.000Z","IS","5","loction/img","703571070726",50
"Trane AC","FCU","Trane AC is a multinational manufacturer of home appliances based in Michigan, United States. Trane AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Trane AC ACs hold a market share of 25% in the AC market","4","3778","6876355021","Trane","14%","NULL","NULL","NULL","NULL","121",,true,"09/20/2021","1900-01-01T00:00:00.000Z","IS","5","loction/img","743541982720",51
"Haier AC","FCU","Haier AC is a multinational manufacturer of home appliances based in Michigan, United States. Haier AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Haier AC ACs hold a market share of 25% in the AC market","41","3412","8070225932","Haier","13%","NULL","NULL","NULL","NULL","121",,true,"09/21/2021","1900-01-01T00:00:00.000Z","IS","3","loction/img","337697920298",52
"Croma AC","FCU","Croma AC is a multinational manufacturer of home appliances based in Michigan, United States. Croma AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Croma AC ACs hold a market share of 25% in the AC market","38","4781","6917541609","Croma","16%","NULL","NULL","NULL","NULL","121",,true,"09/22/2021","1900-01-01T00:00:00.000Z","IS","3","loction/img","197020099603",53
"Toshiba AC","Condensor","Toshiba AC is a multinational manufacturer of home appliances based in Michigan, United States. Toshiba AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Toshiba AC ACs hold a market share of 25% in the AC market","16","3176","4639637613","Toshiba","14%","NULL","NULL","NULL","NULL","121",,true,"09/23/2021","1900-01-01T00:00:00.000Z","IS","4","loction/img","318069691261",54
"Godrej AC","Condensor","Godrej AC is a multinational manufacturer of home appliances based in Michigan, United States. Godrej AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Godrej AC ACs hold a market share of 25% in the AC market","48","3507","8834400386","Godrej","13%","NULL","NULL","NULL","NULL","121",,true,"09/24/2021","1900-01-01T00:00:00.000Z","IS","5","loction/img","307762926167",55
"Sansui AC","FCU","Sansui AC is a multinational manufacturer of home appliances based in Michigan, United States. Sansui AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Sansui AC ACs hold a market share of 25% in the AC market","4","3830","7545904039","Sansui","14%","NULL","NULL","NULL","NULL","121",,true,"09/25/2021","1900-01-01T00:00:00.000Z","IS","5","loction/img","497884225953",56
"Haier AC","Condensor","Haier AC is a multinational manufacturer of home appliances based in Michigan, United States. Haier AC entered India in 1987 and has grown to be one of the most favourite brands as far as home appliances are concerned. Whirlpool air conditioners rely on turbo cooling technology to deliver high performance.  Haier AC ACs hold a market share of 25% in the AC market","35","3674","4397325125","Haier","12%","NULL","NULL","NULL","NULL","121",,true,"09/26/2021","1900-01-01T00:00:00.000Z","IS","4","loction/img","181125417521",57
